"Id","First","Last","Email","Company","Occupation","IsOldestAtAddr"
"1901","Henry","Goliath","nyasalamdi@gmail.com","Nyasaland","Soldier","True"
"1902","John","Davies","rhodesia@apole.com","Rhodesia","Driver","True"
"1903","Stanley","Mica","southern@google.com","Southern","Teacher","True"
"1904","Grace","LINOS","nothern@yahoo.com","Northern","Nunny","True"
"1905","edina","Lillian","zambezi@yandex.ru","Zambezi","Nurse","True"
"1906","Silas","Button","zimbaze@yandex.ru","Zimbwezi","Driver","True"
"1907","Presly","PRESLY","kalomo@yandex.ru","Kalomo","Teacher","True"
"1908","Ruth","Beauty","monze@yahoo.com","Monze","Unknown","True"
"1909","Philllip","PRESLY","lusaka@gmailcom","Lusaka","Teacher","True"
"1910","Authur","LINOS","pemba@gmail.com","Pemba","Infant","True"
