"Id_csv1","First","Last","Email_csv1","Company_csv1","Occupation_csv1","Id_csv2","Email_csv2","Company_csv2","Occupation_csv2"
"1901","Henry","Goliath","nyasalamdi@gmail.com","Nyasaland","Soldier","1901","nyasalamdi@gmail.com","Nyasaland","Soldier"
"1902","John","Davies","rhodesia@apole.com","Rhodesia","Driver","1902","rhodesia@apole.com","Rhodesia","Driver"
"1903","Stanley","Mica","southern@google.com","Southern","Teacher","1903","southern@google.com","Southern","Teacher"
"1904","Grace","LINOS","nothern@yahoo.com","Northern","Nunny","1904","nothern@yahoo.com","Northern","Nunny"
"1905","edina","Lillian","zambezi@yandex.ru","Zambezi","Nurse","1905","zambezi@yandex.ru","Zambezi","Nurse"
"1906","Silas","Button","zimbaze@yandex.ru","Zimbwezi","Driver","1906","zimbaze@yandex.ru","Zimbwezi","Driver"
"1907","Presly","PRESLY","kalomo@yandex.ru","Kalomo","Teacher","1907","kalomo@yandex.ru","Kalomo","Teacher"
"1908","Ruth","Beauty","monze@yahoo.com","Monze","Unknown","1908","monze@yahoo.com","Monze","Unknown"
"1909","Philllip","PRESLY","lusaka@gmailcom","Lusaka","Teacher","1909","lusaka@gmailcom","Lusaka","Teacher"
"1910","Authur","LINOS","pemba@gmail.com","Pemba","Infant","1910","pemba@gmail.com","Pemba","Infant"
