"Id","First","Last","Email","Occupation","ProgramKalomo","ProgramLusaka","ProgramMonze","ProgramNorthern","ProgramNyasaland","ProgramPemba","ProgramRhodesia","ProgramSouthern","ProgramZambezi","ProgramZimbwezi"
"1901","Henry","Goliath","nyasalamdi@gmail.com","Soldier","","","","","Registered","","","","",""
"1902","John","Davies","rhodesia@apole.com","Driver","","","","","","","Registered","","",""
"1903","Stanley","Mica","southern@google.com","Teacher","","","","","","","","Registered","",""
"1904","Grace","LINOS","nothern@yahoo.com","Nunny","","","","Registered","","","","","",""
"1905","edina","Lillian","zambezi@yandex.ru","Nurse","","","","","","","","","Registered",""
"1906","Silas","Button","zimbaze@yandex.ru","Driver","","","","","","","","","","Registered"
"1907","Presly","PRESLY","kalomo@yandex.ru","Teacher","Registered","","","","","","","","",""
"1908","Ruth","Beauty","monze@yahoo.com","Unknown","","","Registered","","","","","","",""
"1909","Philllip","PRESLY","lusaka@gmailcom","Teacher","","Registered","","","","","","","",""
"1910","Authur","LINOS","pemba@gmail.com","Infant","","","","","","Registered","","","",""
