"Id","First","Last","Email","Company","Occupation"
"1907","Presly","PRESLY","kalomo@yandex.ru","Kalomo","Teacher"
"1909","Philllip","PRESLY","lusaka@gmailcom","Lusaka","Teacher"
"1908","Ruth","Beauty","monze@yahoo.com","Monze","Unknown"
"1904","Grace","LINOS","nothern@yahoo.com","Northern","Nunny"
"1901","Henry","Goliath","nyasalamdi@gmail.com","Nyasaland","Soldier"
"1910","Authur","LINOS","pemba@gmail.com","Pemba","Infant"
"1902","John","Davies","rhodesia@apole.com","Rhodesia","Driver"
"1903","Stanley","Mica","southern@google.com","Southern","Teacher"
"1905","edina","Lillian","zambezi@yandex.ru","Zambezi","Nurse"
"1906","Silas","Button","zimbaze@yandex.ru","Zimbwezi","Driver"
